Iron dificiency anemia,,,,,1,12,,,1,80,1,27,1,33,,,,,,,,,f,70000,Iron(II),
Iron dificiency anemia,,,,,1,13,,,1,80,1,27,1,33,,,,,,,,,m,70000,Iron(II),
Macrocytic anemia,,,,,1,12,,,98,9999,33,9999,,,140000,9999999,,,,,,,f,90,Vitamine B 12,Folate
Macrocytic anemia,,,,,1,13,,,98,9999,33,9999,,,140000,9999999,,,,,,,m,90,Vitamine B 12,Folate
Severe Macrocytic anemia,,,1,3800,1,12,,,98,9999,33,9999,,,1,140000,1,30000,,,,,f,90,Vitamine B 12,Folate
Severe Macrocytic anemia,,,1,3800,1,13,,,98,9999,33,9999,,,1,140000,1,30000,,,,,m,90,Vitamine B 12,Folate
Hemolytic anemia,,,,,1,12,1,38,,,,,,,,,100000,9999999,,,,,f,10,Red Cell Concentrate,
Hemolytic anemia,,,,,1,13,1,42,,,,,,,,,100000,9999999,,,,,m,10,Red Cell Concentrate,
Thalassemia,,,,,,,,,1,80,1,27,,,,,80000,9999999,,,,,f,10,,
Thalassemia,,,,,,,,,1,80,1,27,,,,,80000,9999999,,,,,m,10,,
Sickle cell anemia,1,4,,,1,12,1,38,80,98,27,33,,,,,,,,,,,f,10,Phenoxymethylpenicillin,
Sickle cell anemia,1,4,,,1,13,1,42,80,98,27,33,,,,,,,,,,,m,10,Phenoxymethylpenicillin,
Anemia of Cronic Disease,,,,,9,12,,,80,98,27,33,,,,,1,30000,,,,,f,15000,Iron(II),Red Cell Concentrate
Anemia of Cronic Disease,,,,,9,13,,,80,98,27,33,,,,,1,30000,,,,,m,15000,Iron(II),Red Cell Concentrate
Aplastic Anemia,,,,,,,,,,,,,,,20000,50000,1,20000,,,,,f,2,,
Aplastic Anemia,,,,,,,,,,,,,,,20000,50000,1,20000,,,,,m,2,,
Severe Aplastic Anemia,,,,,,,,,,,,,,,1,20000,1,20000,,,,,f,2,,
Severe Aplastic Anemia,,,,,,,,,,,,,,,1,20000,1,20000,,,,,m,2,,
Megaloblastic Anemia,,,,,,,,,98,99999,34,99999,,,,,1,20000,,,,,f,90,Vitamine B 12,
Megaloblastic Anemia,,,,,,,,,98,99999,34,99999,,,,,1,20000,,,,,m,90,Vitamine B 12,
Folate-deficiency Anemia,,,,,,,,,98,99999,34,99999,,,,,1,20000,,,,,f,90,Folate,
Folate-deficiency Anemia,,,,,,,,,98,99999,34,99999,,,,,1,20000,,,,,m,90,Folate,
Primary Myelopathic Polycythemia,6,100,,,,,100,55,,,,,,,400000,9999999,80000,9999999,,,,,f,5,Cytoreductive Drugs,
Primary Myelopathic Polycythemia,6,100,,,,,100,59,,,,,,,400000,9999999,80000,9999999,,,,,m,5,Cytoreductive Drugs,
